관서명,주소,Latitude,Longitude
반여지구대,부산광역시 해운대구  선수촌로21번길 64,35.1974453,129.1179505
송정파출소,부산광역시 해운대구  송정중앙로8번길 65,35.1806791,129.2004765
반석파출소,부산광역시 해운대구  아랫반송로 6,35.2254517,129.1468014
반송파출소,부산광역시 해운대구  신반송로 177,35.2290271,129.1602371
반여2·3파출소,부산광역시 해운대구  재반로 197,35.1948888,129.1304287
주례지구대,부산광역시 사상구  주례로 141,35.14575,129.0009577
학장파출소,부산광역시 사상구  학감대로 123번길 4,35.1420014,128.9877653
감전지구대,부산광역시 사상구  가야대로 39,35.1519031,128.9772208
모라파출소,부산광역시 사상구  모라로 110번길 101,35.1846554,128.9963468
삼덕파출소,부산광역시 사상구  삼덕로 73번길 48,35.1752733,128.9851348
엄궁파출소,부산광역시 사상구 낙동대로 740,35.1271976,128.9693434
부곡지구대,부산광역시 금정구  부곡로 136 (부곡동) 부곡지구대,35.2279936,129.0922775
장전지구대,부산광역시 금정구  금정로 49 (장전동) 장전지구대,35.2290759,129.0859948
범어지구대,부산광역시 금정구  팔송로39길 56 (남산동) 범어지구대,35.2696244,129.0881329
서금지구대,부산광역시 금정구  반송로 482-1 (금사동) 서금지구대,35.2161659,129.1164974
팔송파출소,부산광역시 금정구  중앙대로 2106 (청룡동) 팔송파출소,35.2723742,129.0929384
괴정지구대,부산광역시 사하구  낙동대로 264,35.0994409,128.9882447
하단지구대,부산광역시 사하구  하신중앙로 316,35.1044579,128.9652204
감천지구대,부산광역시 사하구  감천로103,35.08826,129.0032093
다대지구대,부산광역시 사하구  다송로 46,35.0635295,128.9824223
신평파출소,부산광역시 사하구  하신중앙로 171,35.0936034,128.9620472
장림파출소,부산광역시 사하구  다대로 239,35.0810948,128.9777483
토곡지구대,부산광역시 연제구 과정로164번길 16,35.1859181,129.1082422
연일지구대,부산광역시 연제구 반송로 18,35.1868347,129.0831004
거제지구대,부산광역시 연제구 거제대로178번길 51-1,35.1840654,129.0731294
연산파출소,부산광역시 연제구 연수로 207-1,35.17396,129.0934777
망미1파출소,부산광역시 수영구 망미로8번길 74,35.1726746,129.1011889
수영망미2파출소,부산광역시 수영구 수영성로 36-1 (수영동),35.1705061,129.1159975
가락파출소,부산광역시 강서구  가락대로 1465,35.19494,128.9021286
강동파출소,부산광역시 강서구  제도로 1191,35.2161607,128.9366836
대저파출소,부산광역시 강서구  대저로 284,35.2119708,128.9827889
공항파출소,부산광역시 강서구  공항진입로 39,35.1811355,128.9541782
녹산파출소,부산광역시 강서구  낙동남로604번길 2-17,35.112723,128.8862137
신호파출소,부산광역시 강서구 녹산산단335로 12-22,35.0898879,128.8564112
명지파출소,부산광역시 강서구  명지국제2로28번길 13,35.0938632,128.9086888
가덕도파출소,부산광역시 강서구 동선길 134,35.0528752,128.8309577
지사파출소,부산광역시 강서구 과학산단2로20번길 7-20,35.1511108,128.8322268
덕천지구대,부산광역시 북구  금곡대로 66-8,35.2155589,129.0051495
구포지구대,부산광역시 북구  시랑로79번길 3,35.198839,129.0061967
만덕지구대,부산광역시 북구  은행나무로36번가길 24,35.2055526,129.0391718
화명지구대,부산광역시 북구  용당로 6,35.2318431,129.0097615
금곡파출소,부산광역시 북구  금곡대로 462,35.2496191,129.0130969
기장지구대,부산광역시 기장군 기장읍 차성동로 94-6 ,35.2459044,129.2174833
일광파출소,부산광역시 기장군 일광면 일광로 77-15 ,35.2641744,129.2324098
장안파출소,부산광역시 기장군 장안읍 해맞이로 5 ,35.3129102,129.2442872
정관지구대,부산광역시 기장군 정관읍 용수로 17 ,35.3248144,129.1788774
철마파출소,부산광역시 기장군 철마면 철마로 473 ,35.2749142,129.1487083
서문지구대,대구광역시 중구  국채보상로 99길 12,35.8712556,128.5838659
동덕지구대,대구광역시 중구 국채보상로 140길 16,35.868083,128.6060433
남산지구대,대구광역시 중구  달구벌대로 2048,35.8660179,128.587629
중앙파출소,대구광역시 중구  중앙대로 81길 88,35.8695864,128.5888258
큰고개지구대,대구광역시 동구  효목로19길 143,35.8832147,128.6368871
동촌지구대,대구광역시 동구  해동로 184,35.8865157,128.6488829
안심지구대,대구광역시 동구  반야월로 219,35.8724847,128.7127274
남신암지구대,대구광역시 동구  대현로 126 ,35.8813318,128.6124104
동대구지구대,대구광역시 동구  동대구로85길 53 ,35.8749697,128.6243127
팔공파출소,대구광역시 동구 팔공로 197길 47,35.9564465,128.6910226
공산파출소,대구광역시 동구 파계로 546,35.9791999,128.6331759
봉무불로파출소,대구광역시 동구 위남로9,35.9272924,128.6399034
동내혁신파출소,대구 동구 동내로 120,35.8818552,128.733863
평산지구대,대구광역시 서구  달서로26길 1,35.8733781,128.5714877
서도지구대,대구광역시 서구  국채보상로 260,35.871043,128.5595123
이현지구대,대구광역시 서구  국채보상로 117,35.8690137,128.5439926
비원지구대,대구광역시 서구  고성로 83,35.8836122,128.5754526
내당4동파출소,대구광역시 서구  달구벌대로 1737,35.8573471,128.555168
봉천지구대,대구광역시 남구  봉덕로 87,35.8449918,128.6001903
동대명지구대,대구광역시 남구  양지로 100,35.8512762,128.579126
서대명파출소,대구광역시 남구 대명남로 177,35.8357444,128.5775364
대명파출소,대구광역시 남구  두류공원로 113,35.8461571,128.5672641
남대명파출소,대구광역시 남구  대명남로 55,35.8351142,128.5642848
노원지구대,대구광역시 북구  오봉로 122,35.8981372,128.5795509
복현지구대,대구광역시 북구  경진로1길 50,35.8941604,128.617994
고성지구대,대구광역시 북구  침산로 24,35.8783946,128.5892545
산격지구대,대구광역시 북구  연암로 114,35.8944092,128.5949132
고산지구대,대구광역시 수성구  고산로 150,35.8443327,128.7065156
황금지구대,대구광역시 수성구  청수로 245,35.8411515,128.6347776
만촌지구대,대구광역시 수성구  무열로 111,35.8684565,128.6487278
